o,h,l,c,volume
1.1171,1.11734,1.1160299999999999,1.11694,4531
1.11696,1.11894,1.11655,1.1173799999999998,5904
1.1173600000000001,1.11859,1.11686,1.11794,5155
1.11792,1.11856,1.11758,1.11794,3754
1.11795,1.11815,1.1168200000000001,1.11687,2172
1.11686,1.11745,1.11575,1.11604,10432
1.11606,1.11616,1.1128799999999999,1.11378,15337
1.11379,1.1145399999999999,1.1110200000000001,1.1111,11615
1.1110799999999998,1.11191,1.10925,1.10938,10316
1.1093600000000001,1.10952,1.10253,1.1028200000000001,10200
1.1028,1.10392,1.1,1.10128,9047
1.10127,1.10179,1.09732,1.09887,22127
1.0988799999999999,1.1011,1.09768,1.0995,13880
1.0994899999999999,1.10154,1.09548,1.09709,30136
1.09711,1.09924,1.09581,1.09711,18557
1.09713,1.09992,1.0964,1.0966200000000002,13739
1.09664,1.09895,1.09586,1.09884,10735
1.09883,1.10207,1.09804,1.10004,7235
1.10005,1.10125,1.09836,1.10018,6648
1.10019,1.1010799999999998,1.0989,1.0997,1989
1.0997,1.10127,1.09964,1.10076,633
1.1008,1.1023,1.1008,1.1016,1202
1.10162,1.1022399999999999,1.10112,1.10164,2523
1.10166,1.10174,1.09911,1.09927,4527
1.09925,1.10091,1.0985,1.10006,3433
1.1000299999999998,1.10196,1.09992,1.1011,2758
1.10112,1.1028200000000001,1.1011,1.1027799999999999,5469
1.10276,1.10331,1.10247,1.1030799999999998,2956
1.10306,1.10453,1.10306,1.10392,3167
1.10392,1.1039299999999999,1.10028,1.10035,9186
1.10037,1.1018700000000001,1.0966200000000002,1.09686,16565
1.09684,1.09932,1.09556,1.09728,22323
1.0972600000000001,1.10166,1.0971600000000001,1.09955,14835
1.09958,1.10178,1.0991600000000001,1.10002,20702
1.10001,1.10054,1.0968200000000001,1.09774,12136
1.09775,1.0985,1.0928200000000001,1.09304,14100
1.0930600000000001,1.0947,1.08946,1.09084,17390
1.09086,1.09285,1.08626,1.0868,17704
1.0867799999999999,1.08781,1.0830799999999998,1.0832899999999999,19165
1.0832700000000002,1.08512,1.08074,1.08092,15969
1.08091,1.0852700000000002,1.08018,1.0847799999999999,13208
1.0848,1.08886,1.08202,1.0872700000000002,14037
1.0872899999999999,1.09004,1.08532,1.08988,11026
1.08986,1.0919299999999998,1.08972,1.09158,2895
1.09153,1.09179,1.09086,1.09132,269
1.09136,1.09352,1.09028,1.09336,1790
1.0933899999999999,1.09817,1.09321,1.09448,6324
1.0945,1.0949799999999998,1.08986,1.0901100000000001,7222
1.09009,1.09204,1.0886200000000001,1.0909200000000001,4911
1.0909,1.09188,1.08782,1.0881399999999999,5637
1.08817,1.0912600000000001,1.08797,1.08978,4780
1.08976,1.09066,1.08869,1.08966,3074
1.08968,1.09075,1.08946,1.09017,3534
1.09017,1.09477,1.08996,1.09248,7941
1.0925,1.09364,1.0845200000000002,1.0848,25720
1.0848200000000001,1.089,1.08136,1.08376,14999
1.08372,1.08691,1.08191,1.0824,8493
1.08241,1.08266,1.07829,1.0783,8026
1.0783200000000002,1.08059,1.07322,1.07495,16450
1.07494,1.08402,1.07259,1.07989,35788
1.07986,1.08346,1.07831,1.08041,34155
1.08043,1.08186,1.0782200000000002,1.07951,23900
1.07952,1.08006,1.06954,1.06994,25509
1.06996,1.07158,1.06606,1.0663200000000002,23742
1.06634,1.0705,1.06551,1.0684200000000001,15312
1.0684,1.06985,1.06579,1.06679,11221
1.06681,1.06922,1.06606,1.06797,10532
1.06795,1.07059,1.06756,1.06926,2976
1.06922,1.07,1.0655,1.06606,964
1.06602,1.06708,1.06554,1.06654,1244
1.06657,1.0668799999999998,1.0654700000000001,1.06548,2342
1.0655,1.06739,1.0652700000000002,1.06643,4519
1.06645,1.0744200000000002,1.0663,1.07196,6371
1.0719299999999998,1.07497,1.07094,1.07352,7052
1.07354,1.07443,1.0716700000000001,1.07355,6638
1.0735299999999999,1.07649,1.07275,1.07649,11292
1.07651,1.07692,1.0742,1.0753,8659
1.07532,1.07802,1.0742,1.07598,13573
1.0760100000000001,1.08312,1.07436,1.08146,19532
1.08148,1.08148,1.0775,1.07874,18062
1.07876,1.0790799999999998,1.07146,1.0721,15747
1.07212,1.07584,1.0706200000000001,1.0737,14282
1.07372,1.074,1.06966,1.0711,12813
1.07112,1.07606,1.0701,1.0709600000000001,16015
1.07094,1.07206,1.06779,1.06934,14749
1.0693,1.07499,1.06912,1.07202,15272
1.0720399999999999,1.07484,1.0663799999999999,1.0684200000000001,15562
1.0683799999999999,1.07136,1.06544,1.06608,15498
1.0661,1.0695,1.0653299999999999,1.06669,11510
1.0666799999999999,1.0668,1.06386,1.0654700000000001,11847
1.0655,1.06729,1.06377,1.0666200000000001,15219
1.0666,1.07037,1.0663,1.06964,2748
1.07077,1.0709799999999998,1.06941,1.06979,247
1.06971,1.07055,1.0636,1.0659399999999999,4107
1.06592,1.0703799999999999,1.06588,1.06893,10396
1.0689,1.0706,1.06584,1.06789,7495
1.06786,1.0721100000000001,1.0669600000000001,1.07178,4480
1.07176,1.073,1.07126,1.07294,3449
1.07292,1.07302,1.0712,1.0714299999999999,6417
1.07144,1.07374,1.07144,1.07358,4568
1.0735700000000001,1.07562,1.07284,1.07502,6119
1.075,1.0768799999999998,1.0716,1.0747799999999998,6935
1.07481,1.07541,1.0689600000000001,1.0693,18002
1.06932,1.07102,1.06894,1.0707799999999998,14823
1.07077,1.0708,1.06738,1.06836,10431
1.06837,1.06998,1.06673,1.06918,9473
1.0691899999999999,1.06988,1.06664,1.06856,10248
1.06854,1.0802399999999999,1.06836,1.0779,29718
1.07789,1.0806799999999999,1.07348,1.07936,22483
1.07934,1.08284,1.07659,1.08044,13414
1.08046,1.08124,1.07511,1.07588,14411
1.0759100000000001,1.07694,1.07239,1.07502,14445
1.07501,1.0780399999999999,1.07476,1.07508,13379
1.0751,1.07544,1.07239,1.07304,8817
1.0730600000000001,1.0749600000000001,1.07236,1.0725799999999999,8426
1.07259,1.07382,1.072,1.07264,2018
1.07264,1.0732899999999999,1.0723,1.07263,148
1.0726799999999999,1.07518,1.07253,1.0746,895
1.07463,1.0765799999999999,1.0744,1.07635,2055
1.07638,1.0810799999999998,1.0752,1.07961,4088
1.07962,1.08229,1.07877,1.0794,4560
1.07938,1.08184,1.0791600000000001,1.08115,3156
1.08113,1.0817,1.07925,1.08008,3052
1.08006,1.08091,1.0787,1.0789,3733
1.0788799999999998,1.07986,1.0775700000000001,1.07789,2871
1.0779100000000001,1.0866200000000001,1.07778,1.0834700000000002,10664
1.08349,1.0847,1.0821399999999999,1.08302,13648
1.083,1.0848,1.0807799999999999,1.08254,9292
1.08256,1.08584,1.08144,1.0854,6480
1.0853899999999999,1.08846,1.08491,1.08818,7393
1.0882,1.0888,1.08494,1.0865200000000002,8218
1.08654,1.08686,1.0812,1.0822399999999999,20495
1.08226,1.08538,1.07884,1.08126,17909
1.08128,1.08205,1.07692,1.07846,15475
1.0784799999999999,1.08026,1.07704,1.07952,14135
1.0795299999999999,1.08212,1.07758,1.0790600000000001,12537
1.0790799999999998,1.0793,1.07532,1.07566,7575
1.07568,1.07728,1.07504,1.07588,5897
1.07586,1.07742,1.0746,1.0771600000000001,4886
1.07714,1.07994,1.0765799999999999,1.07886,2048
1.07886,1.07903,1.0766,1.07864,1187
1.0786,1.08151,1.07816,1.0812,1228
1.08122,1.08151,1.07974,1.07984,1681
1.07986,1.08025,1.07605,1.07873,5049
1.07871,1.08089,1.07844,1.0807,4101
1.08071,1.0824,1.07992,1.08236,2863
1.08235,1.08236,1.0807,1.08094,2997
1.08092,1.08138,1.08035,1.0812,2384
1.08118,1.08182,1.07924,1.08168,4414
1.0817,1.0823399999999999,1.0806799999999999,1.08166,5912
1.08168,1.08406,1.08056,1.08071,8528
